id,accepted,didnt_accepted
67056,1,
107891,,2
269914,,8
360280,,4
478048,,4
621524,,1
644173,10,
907711,,2
941421,,5
1009147,7,
1018631,,7
1152616,,1
1176910,7,
1183939,,10
1190057,7,
1211860,7,
1244249,8,
1301325,8,
1435740,,3
1513482,,3
1523544,8,
1618175,7,
1713243,9,
1803230,,9
1809300,,6
1886308,,7
1954925,,3
2402111,10,
2418949,,1
2640411,,7
2648860,7,
2696494,,2
2784244,,6
2807355,,7
2842621,,4
2915448,6,
2975174,,1
3036791,1,
3078312,,1
3094987,3,
3139235,8,
3247711,10,
3383908,,1
3472668,,8
3482551,,1
3605280,,4
3708965,7,
3947606,7,
3993925,8,
4042352,7,
4052223,,7
4118307,,7
4125359,,4
4173966,,1
4373986,,1
4481047,6,
4594136,1,
4639248,,2
4642242,8,
4647325,,4
4667435,4,
4767013,,1
4773428,,4
4897614,6,
5097088,,5
5124532,,3
5189617,8,
5247735,7,
5276549,,3
5283282,,8
5341285,9,
5575280,,10
5640756,3,
5949811,,2
5952012,,10
5964101,,8
6587761,,3
6713871,10,
6944230,8,
7114867,,10
7136979,,7
7336766,10,
7499044,,3
7545124,,1
7620506,,2
7688329,10,
7730405,9,
7787218,,9
8095463,8,
8443821,,7
8530481,8,
8707097,,10
8731719,,9
8843008,7,
8923227,1,
9306895,4,
9309907,10,
9760591,,4
9775862,10,
9904047,8,